Mar. 17, 2017   14:46:59
Chronopotentiometry
File: e:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Cathodic Current (A) = 0.024
Anodic Current (A) = 0.024
Init P/N = N
Data Storage Interval (s) = 0.1
High E Limit (V) = 0.4
High E Hold Time (s) = 3
Low E Limit (V) = 0
Low E Hold Time (s) = 3
Cathodic Time (s) = 1000
Anodic Time (s) = 1000
Current Switching Polarity = Potential
Segment = 1000

Time/sec, Potential/V
5.140e+1, 1.209e-1
5.150e+1, 1.203e-1
5.160e+1, 1.197e-1
5.170e+1, 1.190e-1
5.180e+1, 1.184e-1
5.190e+1, 1.178e-1
5.200e+1, 1.172e-1
5.210e+1, 1.165e-1
5.220e+1, 1.158e-1
5.230e+1, 1.151e-1
5.240e+1, 1.143e-1
5.250e+1, 1.135e-1
5.260e+1, 1.127e-1
5.270e+1, 1.119e-1
5.280e+1, 1.111e-1
5.290e+1, 1.102e-1
5.300e+1, 1.093e-1
5.310e+1, 1.083e-1
5.320e+1, 1.073e-1
5.330e+1, 1.062e-1
5.340e+1, 1.050e-1
5.350e+1, 1.037e-1
5.360e+1, 1.023e-1
5.370e+1, 1.008e-1
5.380e+1, 9.899e-2
5.390e+1, 9.691e-2
5.400e+1, 9.438e-2
5.410e+1, 9.115e-2
5.420e+1, 8.686e-2
5.430e+1, 8.109e-2
5.440e+1, 7.350e-2
5.450e+1, 6.459e-2
5.460e+1, 5.511e-2
5.470e+1, 4.555e-2
5.480e+1, 3.626e-2
5.490e+1, 2.731e-2
5.500e+1, 1.875e-2
5.510e+1, 1.060e-2
5.520e+1, 2.738e-3
5.530e+1, 1.977e-1
5.540e+1, 1.992e-1
5.550e+1, 1.992e-1
5.560e+1, 1.996e-1
5.570e+1, 2.001e-1
5.580e+1, 2.006e-1
5.590e+1, 2.012e-1
5.600e+1, 2.017e-1
5.610e+1, 2.023e-1
5.620e+1, 2.028e-1
5.630e+1, 2.033e-1
5.640e+1, 2.038e-1
5.650e+1, 2.044e-1
5.660e+1, 2.049e-1
5.670e+1, 2.054e-1
5.680e+1, 2.060e-1
5.690e+1, 2.065e-1
5.700e+1, 2.070e-1
5.710e+1, 2.076e-1
5.720e+1, 2.082e-1
5.730e+1, 2.088e-1
5.740e+1, 2.094e-1
5.750e+1, 2.100e-1
5.760e+1, 2.106e-1
5.770e+1, 2.112e-1
5.780e+1, 2.119e-1
5.790e+1, 2.125e-1
5.800e+1, 2.132e-1
5.810e+1, 2.139e-1
5.820e+1, 2.146e-1
5.830e+1, 2.153e-1
5.840e+1, 2.160e-1
5.850e+1, 2.167e-1
5.860e+1, 2.174e-1
5.870e+1, 2.181e-1
5.880e+1, 2.188e-1
5.890e+1, 2.196e-1
5.900e+1, 2.203e-1
5.910e+1, 2.210e-1
5.920e+1, 2.218e-1
5.930e+1, 2.225e-1
5.940e+1, 2.233e-1
5.950e+1, 2.241e-1
5.960e+1, 2.248e-1
5.970e+1, 2.256e-1
5.980e+1, 2.264e-1
5.990e+1, 2.271e-1
6.000e+1, 2.279e-1
6.010e+1, 2.287e-1
6.020e+1, 2.295e-1
6.030e+1, 2.303e-1
6.040e+1, 2.312e-1
6.050e+1, 2.320e-1
6.060e+1, 2.328e-1
6.070e+1, 2.336e-1
6.080e+1, 2.345e-1
6.090e+1, 2.353e-1
6.100e+1, 2.361e-1
6.110e+1, 2.370e-1
6.120e+1, 2.379e-1
6.130e+1, 2.388e-1
6.140e+1, 2.396e-1
6.150e+1, 2.405e-1
6.160e+1, 2.413e-1
6.170e+1, 2.422e-1
6.180e+1, 2.430e-1
6.190e+1, 2.439e-1
6.200e+1, 2.448e-1
6.210e+1, 2.457e-1
6.220e+1, 2.465e-1
6.230e+1, 2.474e-1
6.240e+1, 2.483e-1
6.250e+1, 2.492e-1
6.260e+1, 2.501e-1
6.270e+1, 2.510e-1
6.280e+1, 2.520e-1
6.290e+1, 2.529e-1
6.300e+1, 2.539e-1
6.310e+1, 2.549e-1
6.320e+1, 2.559e-1
6.330e+1, 2.569e-1
6.340e+1, 2.580e-1
